VEG_SPEC,DESC_LATIN,DESC_ABBR,ALTERNAME,VERSION_DATE,BRC_CONCEPT,BRC_NAME,GROWTH_STAGE
2597,Sorbus aucuparia (s),,,36587,Vas_1960,Sorbus aucuparia,(s)
2600,Acer pseudoplatanus (s),acer pseud (s),,36587,Vas_5,Acer pseudoplatanus,(s)
2483,Foraminella ambigua,,,36587,,,
2486,Peltigera canina,,,36587,Fun_8777,Peltigera canina,
2489,Peltigera lepidophora,,,36587,,,
2492,Peltigera polydactyla,,,36587,Fun_8788,Peltigera polydactyla,
2495,Peltigera didactyla,,,36587,,,
2497,Hyperphyscia adglutinata,,,36587,,,
2501,Phaeophyscia ciliata,,,36587,,,
2504,Phaeophyscia endophoenicea,,,36587,,,
2507,Physcia melops,,,36587,,,
2509,Phaeophyscia orbicularis,,,36587,,,
2513,Physcia tenella,,,36587,,,
2536,Solorina bispora,,,36587,,,
2539,Solorina spongiosa,,,36587,,,
2542,Sphaerophorus melanocarpus,,,36587,,,
2423,Leptogium corniculatum,,,36587,,,
2426,Leptogium schraderi,,,36587,,,
2429,Lichina confinis,,,36587,,,
2431,Lobaria amplissima,,,36587,,,
2437,Pannaria hookeri,,,36587,,,
2440,Pannaria pezizoides,,,36587,,,
2442,Pannaria rubiginosa,,,36587,,,
2445,Allantoparmelia alpicola,,,36587,,,
2448,Cetrelia olivetorum,,,36587,,,
2477,Parmelia taylorensis,,,36587,,,
2480,Degelia lingulata,,,36587,,,
2482,Parmeliopsis aleurites,,,36587,,,
2364,Cladonia peziziformis,,,36587,,,
2370,Cladonia macilenta,clad macil,,36587,Fun_7741,Cladonia macilenta,
2373,Cladonia ochrochlora,,,36587,Fun_7749,Cladonia ochrochlora,
2376,Cladonia zopfii,,,36587,,,
2378,Cladonia polydactyla,,,36587,Fun_7756,Cladonia polydactyla,
2381,Cladonia rangiformis,,,36587,Fun_7086,Cladonia rangiformis,
2384,Cladonia strepsilis,,,36587,,,
2387,Cladonia squamosa var subsquamosa,,,36587,,,
2391,Cladonia uncialis,,,36587,Fun_7781,Cladonia uncialis,
2414,Catapyrenium rufescens,,,36587,,,
2417,Hypogymnia tubulosa,,,36587,,,
2420,Leptogium burgessii,,,36587,,,
2304,Sphaerocarpos michelii,,,36587,,,
2307,Anastrophyllum saxicola,,,36587,,,
2310,Tritomaria exsecta,,,36587,,,
2313,Tritomaria quinquedentata,,,36587,Bry_960,Tritomaria quinquedentata,
2316,Bryoria fuscescens,,,36587,,,
2319,Bryoria lanestris,,,36587,,,
2321,Bryoria nitidula,,,36587,,,
2324,Pseudephebe pubescens,,,36587,Fun_9293,Pseudephebe pubescens,
2327,Cetraria chlorophylla,,,36587,,,
2330,Platismatia glauca,,,36587,Fun_9451,Platismatia glauca,
2353,Cladonia cyathomorpha,,,36587,,,
2356,Cladonia metacorallifera,,,36587,Fun_7746,Cladonia metacorallifera,
2360,Cladonia floerkeana,,,36587,Fun_7726,Cladonia floerkeana,
2241,Porella platyphylla,,,36587,Bry_885,Porella platyphylla,
2244,Ptilidium ciliare,ptil cilia,,36587,Bry_888,Ptilidium ciliare,
2247,Radula carringtonii,,,36587,,,
2250,Radula voluta,,,36587,,,
2252,Riccardia incurvata,,,36587,,,
2257,Riccardia chamedryfolia,,,36587,Bry_902,Riccardia chamedryfolia,
2260,Riccia canaliculata,,,36587,,,
2263,Riccia crystallina,,,36587,,,
2266,Riccia huebenerana,,,36587,,,
2271,Saccogyna viticulosa,,,36587,Bry_918,Saccogyna viticulosa,
2294,Jungermannia caespiticia,,,36587,,,
2297,Jungermannia confertissima,,,36587,,,
2301,Jungermannia sphaerocarpa,,,36587,,,
2187,Marsupella emarginata var aquatica,,,36587,,,
2191,Marsupella funckii,,,36587,,,
2194,Marsupella sprucei,,,36587,Bry_838,Marsupella sprucei,
2196,Gentianella ciliata,,,36587,,,
2199,Metzgeria conjugata,,,36587,,,
2202,Metzgeria leptoneura,,,36587,,,
2205,Lemna minuta,,,36587,,,
2207,Mylia anomala,,,36587,Bry_852,Mylia anomala,
2209,Mylia taylorii,,,36587,Bry_854,Mylia taylorii,
2233,Jungermannia obovata,,,36587,,,
2236,Pleurocladula albescens,,,36587,,,
2240,Porella pinnata,,,36587,,,
2123,Fossombronia incurva,,,36587,,,
2126,Frullania dilatata,,,36587,Bry_764,Frullania dilatata,
2129,Frullania microphylla,,,36587,,,
2132,Gymnocolea acutiloba,,,36587,,,
2134,Gymnomitrion apiculatum,,,36587,,,
2138,Gymnomitrion obtusum,,,36587,Bry_777,Gymnomitrion obtusum,
2141,Harpanthus flotovianus,,,36587,,,
2144,Herbertus borealis,,,36587,,,
2146,Hygrobiella laxifolia,,,36587,Bry_784,Hygrobiella laxifolia,
2173,Lophozia excisa,,,36587,,,
2175,Lophozia longidens,,,36587,,,
2178,Lophozia perssonii,,,36587,,,
2068,Barbilophozia floerkei,barbi floer,,36587,Bry_695,Barbilophozia floerkei,
2071,Barbilophozia lycopodioides,,,36587,Bry_698,Barbilophozia lycopodioides,
2075,Bazzania trilobata,,,36587,,,
2078,Calypogeia arguta,,,36587,Bry_705,Calypogeia arguta,
2083,Calypogeia suecica,,,36587,,,
